"時点","地域コード","地域","（季節調整値）有効求人倍率【倍】","注記"
"1992年6月","02000","青森県","0.54",""
"1992年7月","02000","青森県","0.54",""
"1992年8月","02000","青森県","0.53",""
"1992年9月","02000","青森県","0.50",""
"1992年10月","02000","青森県","0.51",""
"1992年11月","02000","青森県","0.50",""
"1992年12月","02000","青森県","0.50",""
"1993年1月","02000","青森県","0.47",""
"1993年2月","02000","青森県","0.45",""
"1993年3月","02000","青森県","0.44",""
"1993年4月","02000","青森県","0.45",""
"1993年5月","02000","青森県","0.45",""
"1993年6月","02000","青森県","0.41",""
"1993年7月","02000","青森県","0.40",""
"1993年8月","02000","青森県","0.40",""
"1993年9月","02000","青森県","0.40",""
"1993年10月","02000","青森県","0.39",""
"1993年11月","02000","青森県","0.39",""
"1993年12月","02000","青森県","0.38",""
"1994年1月","02000","青森県","0.39",""
"1994年2月","02000","青森県","0.37",""
"1994年3月","02000","青森県","0.39",""
"1994年4月","02000","青森県","0.38",""
"1994年5月","02000","青森県","0.37",""
"1994年6月","02000","青森県","0.38",""
"1994年7月","02000","青森県","0.38",""
"1994年8月","02000","青森県","0.40",""
"1994年9月","02000","青森県","0.41",""
"1994年10月","02000","青森県","0.40",""
"1994年11月","02000","青森県","0.39",""
"1994年12月","02000","青森県","0.37",""
"1995年1月","02000","青森県","0.39",""
"1995年2月","02000","青森県","0.42",""
"1995年3月","02000","青森県","0.43",""
"1995年4月","02000","青森県","0.42",""
"1995年5月","02000","青森県","0.41",""
"1995年6月","02000","青森県","0.40",""
"1995年7月","02000","青森県","0.39",""
"1995年8月","02000","青森県","0.40",""
"1995年9月","02000","青森県","0.39",""
"1995年10月","02000","青森県","0.38",""
"1995年11月","02000","青森県","0.38",""
"1995年12月","02000","青森県","0.37",""
"1996年1月","02000","青森県","0.36",""
"1996年2月","02000","青森県","0.37",""
"1996年3月","02000","青森県","0.38",""
"1996年4月","02000","青森県","0.38",""
"1996年5月","02000","青森県","0.40",""
"1996年6月","02000","青森県","0.42",""
"1996年7月","02000","青森県","0.42",""
"1996年8月","02000","青森県","0.42",""
"1996年9月","02000","青森県","0.43",""
"1996年10月","02000","青森県","0.44",""
"1996年11月","02000","青森県","0.44",""
"1996年12月","02000","青森県","0.44",""
"1997年1月","02000","青森県","0.45",""
"1997年2月","02000","青森県","0.45",""
"1997年3月","02000","青森県","0.45",""
"1997年4月","02000","青森県","0.44",""
"1997年5月","02000","青森県","0.44",""
"1997年6月","02000","青森県","0.44",""
"1997年7月","02000","青森県","0.44",""
"1997年8月","02000","青森県","0.42",""
"1997年9月","02000","青森県","0.41",""
"1997年10月","02000","青森県","0.40",""
"1997年11月","02000","青森県","0.39",""
"1997年12月","02000","青森県","0.39",""
"1998年1月","02000","青森県","0.36",""
"1998年2月","02000","青森県","0.34",""
"1998年3月","02000","青森県","0.32",""
"1998年4月","02000","青森県","0.30",""
"1998年5月","02000","青森県","0.29",""
"1998年6月","02000","青森県","0.28",""
"1998年7月","02000","青森県","0.27",""
"1998年8月","02000","青森県","0.28",""
"1998年9月","02000","青森県","0.28",""
"1998年10月","02000","青森県","0.29",""
"1998年11月","02000","青森県","0.28",""
"1998年12月","02000","青森県","0.29",""
"1999年1月","02000","青森県","0.30",""
"1999年2月","02000","青森県","0.31",""
"1999年3月","02000","青森県","0.31",""
"1999年4月","02000","青森県","0.30",""
"1999年5月","02000","青森県","0.31",""
"1999年6月","02000","青森県","0.31",""
"1999年7月","02000","青森県","0.32",""
"1999年8月","02000","青森県","0.33",""
"1999年9月","02000","青森県","0.34",""
"1999年10月","02000","青森県","0.35",""
"1999年11月","02000","青森県","0.36",""
"1999年12月","02000","青森県","0.36",""
"2000年1月","02000","青森県","0.38",""
"2000年2月","02000","青森県","0.34",""
"2000年3月","02000","青森県","0.36",""
"2000年4月","02000","青森県","0.38",""
"2000年5月","02000","青森県","0.39",""
"2000年6月","02000","青森県","0.39",""
"2000年7月","02000","青森県","0.40",""
"2000年8月","02000","青森県","0.41",""
"2000年9月","02000","青森県","0.41",""
"2000年10月","02000","青森県","0.40",""
"2000年11月","02000","青森県","0.40",""
"2000年12月","02000","青森県","0.39",""
"2001年1月","02000","青森県","0.41",""
"2001年2月","02000","青森県","0.41",""
"2001年3月","02000","青森県","0.38",""
"2001年4月","02000","青森県","0.37",""
"2001年5月","02000","青森県","0.35",""
"2001年6月","02000","青森県","0.34",""
"2001年7月","02000","青森県","0.32",""
"2001年8月","02000","青森県","0.31",""
"2001年9月","02000","青森県","0.30",""
"2001年10月","02000","青森県","0.28",""
"2001年11月","02000","青森県","0.27",""
"2001年12月","02000","青森県","0.26",""
"2002年1月","02000","青森県","0.26",""
"2002年2月","02000","青森県","0.26",""
"2002年3月","02000","青森県","0.27",""
"2002年4月","02000","青森県","0.28",""
"2002年5月","02000","青森県","0.28",""
"2002年6月","02000","青森県","0.30",""
"2002年7月","02000","青森県","0.29",""
"2002年8月","02000","青森県","0.29",""
"2002年9月","02000","青森県","0.30",""
"2002年10月","02000","青森県","0.32",""
"2002年11月","02000","青森県","0.32",""
"2002年12月","02000","青森県","0.32",""
"2003年1月","02000","青森県","0.31",""
"2003年2月","02000","青森県","0.32",""
"2003年3月","02000","青森県","0.32",""
"2003年4月","02000","青森県","0.31",""
"2003年5月","02000","青森県","0.31",""
"2003年6月","02000","青森県","0.30",""
"2003年7月","02000","青森県","0.31",""
"2003年8月","02000","青森県","0.31",""
"2003年9月","02000","青森県","0.31",""
"2003年10月","02000","青森県","0.31",""
"2003年11月","02000","青森県","0.31",""
"2003年12月","02000","青森県","0.32",""
"2004年1月","02000","青森県","0.31",""
"2004年2月","02000","青森県","0.31",""
"2004年3月","02000","青森県","0.31",""
"2004年4月","02000","青森県","0.32",""
"2004年5月","02000","青森県","0.34",""
"2004年6月","02000","青森県","0.33",""
"2004年7月","02000","青森県","0.33",""
"2004年8月","02000","青森県","0.34",""
"2004年9月","02000","青森県","0.35",""
"2004年10月","02000","青森県","0.36",""
"2004年11月","02000","青森県","0.36",""
"2004年12月","02000","青森県","0.37",""
"2005年1月","02000","青森県","0.38",""
"2005年2月","02000","青森県","0.38",""
"2005年3月","02000","青森県","0.39",""
"2005年4月","02000","青森県","0.39",""
"2005年5月","02000","青森県","0.39",""
"2005年6月","02000","青森県","0.39",""
"2005年7月","02000","青森県","0.40",""
"2005年8月","02000","青森県","0.41",""
"2005年9月","02000","青森県","0.42",""
"2005年10月","02000","青森県","0.42",""
"2005年11月","02000","青森県","0.43",""
"2005年12月","02000","青森県","0.45",""
"2006年1月","02000","青森県","0.45",""
"2006年2月","02000","青森県","0.47",""
"2006年3月","02000","青森県","0.44",""
"2006年4月","02000","青森県","0.42",""
"2006年5月","02000","青森県","0.42",""
"2006年6月","02000","青森県","0.43",""
"2006年7月","02000","青森県","0.43",""
"2006年8月","02000","青森県","0.43",""
"2006年9月","02000","青森県","0.42",""
"2006年10月","02000","青森県","0.45",""
"2006年11月","02000","青森県","0.46",""
"2006年12月","02000","青森県","0.44",""
"2007年1月","02000","青森県","0.44",""
"2007年2月","02000","青森県","0.45",""
"2007年3月","02000","青森県","0.45",""
"2007年4月","02000","青森県","0.48",""
"2007年5月","02000","青森県","0.48",""
"2007年6月","02000","青森県","0.48",""
"2007年7月","02000","青森県","0.49",""
"2007年8月","02000","青森県","0.48",""
"2007年9月","02000","青森県","0.47",""
"2007年10月","02000","青森県","0.48",""
"2007年11月","02000","青森県","0.46",""
"2007年12月","02000","青森県","0.45",""
"2008年1月","02000","青森県","0.47",""
"2008年2月","02000","青森県","0.48",""
"2008年3月","02000","青森県","0.48",""
"2008年4月","02000","青森県","0.47",""
"2008年5月","02000","青森県","0.46",""
"2008年6月","02000","青森県","0.43",""
"2008年7月","02000","青森県","0.42",""
"2008年8月","02000","青森県","0.41",""
"2008年9月","02000","青森県","0.40",""
"2008年10月","02000","青森県","0.37",""
"2008年11月","02000","青森県","0.36",""
"2008年12月","02000","青森県","0.35",""
"2009年1月","02000","青森県","0.34",""
"2009年2月","02000","青森県","0.28",""
"2009年3月","02000","青森県","0.28",""
"2009年4月","02000","青森県","0.28",""
"2009年5月","02000","青森県","0.28",""
"2009年6月","02000","青森県","0.29",""
"2009年7月","02000","青森県","0.28",""
"2009年8月","02000","青森県","0.29",""
"2009年9月","02000","青森県","0.29",""
"2009年10月","02000","青森県","0.29",""
"2009年11月","02000","青森県","0.29",""
"2009年12月","02000","青森県","0.28",""
"2010年1月","02000","青森県","0.30",""
"2010年2月","02000","青森県","0.30",""
"2010年3月","02000","青森県","0.31",""
"2010年4月","02000","青森県","0.32",""
"2010年5月","02000","青森県","0.32",""
"2010年6月","02000","青森県","0.34",""
"2010年7月","02000","青森県","0.37",""
"2010年8月","02000","青森県","0.37",""
"2010年9月","02000","青森県","0.39",""
"2010年10月","02000","青森県","0.40",""
"2010年11月","02000","青森県","0.41",""
"2010年12月","02000","青森県","0.43",""
"2011年1月","02000","青森県","0.46",""
"2011年2月","02000","青森県","0.45",""
"2011年3月","02000","青森県","0.39",""
"2011年4月","02000","青森県","0.37",""
"2011年5月","02000","青森県","0.37",""
"2011年6月","02000","青森県","0.38",""
"2011年7月","02000","青森県","0.43",""
"2011年8月","02000","青森県","0.43",""
"2011年9月","02000","青森県","0.45",""
"2011年10月","02000","青森県","0.47",""
"2011年11月","02000","青森県","0.49",""
"2011年12月","02000","青森県","0.51",""
"2012年1月","02000","青森県","0.55",""
"2012年2月","02000","青森県","0.54",""
"2012年3月","02000","青森県","0.55",""
"2012年4月","02000","青森県","0.57",""
"2012年5月","02000","青森県","0.57",""
"2012年6月","02000","青森県","0.58",""
"2012年7月","02000","青森県","0.59",""
"2012年8月","02000","青森県","0.61",""
"2012年9月","02000","青森県","0.62",""
"2012年10月","02000","青森県","0.62",""
"2012年11月","02000","青森県","0.61",""
"2012年12月","02000","青森県","0.62",""
"2013年1月","02000","青森県","0.65",""
"2013年2月","02000","青森県","0.65",""
"2013年3月","02000","青森県","0.65",""
"2013年4月","02000","青森県","0.66",""
"2013年5月","02000","青森県","0.67",""
"2013年6月","02000","青森県","0.68",""
"2013年7月","02000","青森県","0.70",""
"2013年8月","02000","青森県","0.71",""
"2013年9月","02000","青森県","0.71",""
"2013年10月","02000","青森県","0.72",""
"2013年11月","02000","青森県","0.75",""
"2013年12月","02000","青森県","0.76",""
"2014年1月","02000","青森県","0.78",""
"2014年2月","02000","青森県","0.78",""
"2014年3月","02000","青森県","0.80",""
"2014年4月","02000","青森県","0.80",""
"2014年5月","02000","青森県","0.81",""
"2014年6月","02000","青森県","0.80",""
"2014年7月","02000","青森県","0.80",""
"2014年8月","02000","青森県","0.80",""
"2014年9月","02000","青森県","0.80",""
"2014年10月","02000","青森県","0.79",""
"2014年11月","02000","青森県","0.80",""
"2014年12月","02000","青森県","0.84",""
"2015年1月","02000","青森県","0.83",""
"2015年2月","02000","青森県","0.84",""
"2015年3月","02000","青森県","0.86",""
"2015年4月","02000","青森県","0.88",""
"2015年5月","02000","青森県","0.92",""
"2015年6月","02000","青森県","0.92",""
"2015年7月","02000","青森県","0.93",""
"2015年8月","02000","青森県","0.94",""
"2015年9月","02000","青森県","0.96",""
"2015年10月","02000","青森県","0.96",""
"2015年11月","02000","青森県","0.97",""
"2015年12月","02000","青森県","0.97",""
"2016年1月","02000","青森県","0.99",""
"2016年2月","02000","青森県","0.99",""
"2016年3月","02000","青森県","1.03",""
"2016年4月","02000","青森県","1.05",""
"2016年5月","02000","青森県","1.06",""
"2016年6月","02000","青森県","1.08",""
"2016年7月","02000","青森県","1.10",""
"2016年8月","02000","青森県","1.13",""
"2016年9月","02000","青森県","1.13",""
"2016年10月","02000","青森県","1.14",""
"2016年11月","02000","青森県","1.17",""
"2016年12月","02000","青森県","1.17",""
"2017年1月","02000","青森県","1.18",""
"2017年2月","02000","青森県","1.18",""
"2017年3月","02000","青森県","1.19",""
"2017年4月","02000","青森県","1.19",""
"2017年5月","02000","青森県","1.23",""
"2017年6月","02000","青森県","1.25",""
"2017年7月","02000","青森県","1.26",""
"2017年8月","02000","青森県","1.30",""
"2017年9月","02000","青森県","1.27",""
"2017年10月","02000","青森県","1.28",""
"2017年11月","02000","青森県","1.28",""
"2017年12月","02000","青森県","1.30",""
"2018年1月","02000","青森県","1.29",""
"2018年2月","02000","青森県","1.30",""
"2018年3月","02000","青森県","1.29",""
"2018年4月","02000","青森県","1.28",""
"2018年5月","02000","青森県","1.30",""
"2018年6月","02000","青森県","1.30",""
"2018年7月","02000","青森県","1.32",""
"2018年8月","02000","青森県","1.33",""
"2018年9月","02000","青森県","1.30",""
"2018年10月","02000","青森県","1.32",""
"2018年11月","02000","青森県","1.33",""
"2018年12月","02000","青森県","1.30",""
"2019年1月","02000","青森県","1.32",""
"2019年2月","02000","青森県","1.28",""
"2019年3月","02000","青森県","1.26",""
"2019年4月","02000","青森県","1.27",""
"2019年5月","02000","青森県","1.24",""
"2019年6月","02000","青森県","1.24",""
"2019年7月","02000","青森県","1.23",""
"2019年8月","02000","青森県","1.24",""
"2019年9月","02000","青森県","1.24",""
"2019年10月","02000","青森県","1.23",""
"2019年11月","02000","青森県","1.23",""
"2019年12月","02000","青森県","1.21",""
"2020年1月","02000","青森県","1.12",""
"2020年2月","02000","青森県","1.10",""
"2020年3月","02000","青森県","1.09",""
"2020年4月","02000","青森県","1.00",""
"2020年5月","02000","青森県","0.91",""
"2020年6月","02000","青森県","0.91",""
"2020年7月","02000","青森県","0.93",""
"2020年8月","02000","青森県","0.93",""
"2020年9月","02000","青森県","0.92",""
"2020年10月","02000","青森県","0.95",""
"2020年11月","02000","青森県","0.97",""
"2020年12月","02000","青森県","0.99",""
"2021年1月","02000","青森県","0.96",""
"2021年2月","02000","青森県","0.89",""
"2021年3月","02000","青森県","0.97",""
"2021年4月","02000","青森県","1.01",""
"2021年5月","02000","青森県","1.01",""
"2021年6月","02000","青森県","1.06",""
"2021年7月","02000","青森県","1.09",""
"1963年1月","03000","岩手県","0.37",""
"1963年2月","03000","岩手県","0.31",""
"1963年3月","03000","岩手県","0.34",""
"1963年4月","03000","岩手県","0.33",""
"1963年5月","03000","岩手県","0.37",""
"1963年6月","03000","岩手県","0.46",""
"1963年7月","03000","岩手県","0.49",""
"1963年8月","03000","岩手県","0.42",""
"1963年9月","03000","岩手県","0.40",""
"1963年10月","03000","岩手県","0.35",""
"1963年11月","03000","岩手県","0.35",""
"1963年12月","03000","岩手県","0.36",""
"1964年1月","03000","岩手県","0.37",""
"1964年2月","03000","岩手県","0.38",""
"1964年3月","03000","岩手県","0.39",""
"1964年4月","03000","岩手県","0.38",""
"1964年5月","03000","岩手県","0.37",""
"1964年6月","03000","岩手県","0.37",""
"1964年7月","03000","岩手県","0.39",""
"1964年8月","03000","岩手県","0.38",""
"1964年9月","03000","岩手県","0.42",""
"1964年10月","03000","岩手県","0.47",""
"1964年11月","03000","岩手県","0.47",""
"1964年12月","03000","岩手県","0.47",""
"1965年1月","03000","岩手県","0.46",""
"1965年2月","03000","岩手県","0.46",""
"1965年3月","03000","岩手県","0.43",""
"1965年4月","03000","岩手県","0.45",""
"1965年5月","03000","岩手県","0.43",""
"1965年6月","03000","岩手県","0.43",""
"1965年7月","03000","岩手県","0.40",""
"1965年8月","03000","岩手県","0.41",""
"1965年9月","03000","岩手県","0.41",""
"1965年10月","03000","岩手県","0.34",""
"1965年11月","03000","岩手県","0.34",""
"1965年12月","03000","岩手県","0.29",""
"1966年1月","03000","岩手県","0.32",""
"1966年2月","03000","岩手県","0.36",""
"1966年3月","03000","岩手県","0.38",""
"1966年4月","03000","岩手県","0.35",""
"1966年5月","03000","岩手県","0.39",""
"1966年6月","03000","岩手県","0.43",""
"1966年7月","03000","岩手県","0.39",""
"1966年8月","03000","岩手県","0.37",""
"1966年9月","03000","岩手県","0.41",""
"1966年10月","03000","岩手県","0.41",""
"1966年11月","03000","岩手県","0.40",""
"1966年12月","03000","岩手県","0.37",""
"1967年1月","03000","岩手県","0.41",""
"1967年2月","03000","岩手県","0.43",""
"1967年3月","03000","岩手県","0.43",""
"1967年4月","03000","岩手県","0.51",""
"1967年5月","03000","岩手県","0.52",""
"1967年6月","03000","岩手県","0.60",""
"1967年7月","03000","岩手県","0.69",""
"1967年8月","03000","岩手県","0.59",""
"1967年9月","03000","岩手県","0.57",""
"1967年10月","03000","岩手県","0.57",""
"1967年11月","03000","岩手県","0.55",""
"1967年12月","03000","岩手県","0.51",""
"1968年1月","03000","岩手県","0.54",""
"1968年2月","03000","岩手県","0.56",""
"1968年3月","03000","岩手県","0.59",""
"1968年4月","03000","岩手県","0.60",""
"1968年5月","03000","岩手県","0.64",""
"1968年6月","03000","岩手県","0.61",""
"1968年7月","03000","岩手県","0.59",""
"1968年8月","03000","岩手県","0.59",""
"1968年9月","03000","岩手県","0.53",""
"1968年10月","03000","岩手県","0.54",""
"1968年11月","03000","岩手県","0.62",""
"1968年12月","03000","岩手県","0.68",""
"1969年1月","03000","岩手県","0.65",""
"1969年2月","03000","岩手県","0.64",""
"1969年3月","03000","岩手県","0.64",""
"1969年4月","03000","岩手県","0.63",""
"1969年5月","03000","岩手県","0.65",""
"1969年6月","03000","岩手県","0.60",""
"1969年7月","03000","岩手県","0.65",""
"1969年8月","03000","岩手県","0.70",""
"1969年9月","03000","岩手県","0.68",""
"1969年10月","03000","岩手県","0.67",""
"1969年11月","03000","岩手県","0.65",""
"1969年12月","03000","岩手県","0.81",""
"1970年1月","03000","岩手県","0.81",""
"1970年2月","03000","岩手県","0.79",""
"1970年3月","03000","岩手県","0.73",""
"1970年4月","03000","岩手県","0.68",""
"1970年5月","03000","岩手県","0.69",""
"1970年6月","03000","岩手県","0.67",""
"1970年7月","03000","岩手県","0.63",""
"1970年8月","03000","岩手県","0.62",""
"1970年9月","03000","岩手県","0.61",""
"1970年10月","03000","岩手県","0.62",""
"1970年11月","03000","岩手県","0.62",""
"1970年12月","03000","岩手県","0.62",""
"1971年1月","03000","岩手県","0.58",""
"1971年2月","03000","岩手県","0.53",""
"1971年3月","03000","岩手県","0.51",""
"1971年4月","03000","岩手県","0.52",""
"1971年5月","03000","岩手県","0.53",""
"1971年6月","03000","岩手県","0.58",""
"1971年7月","03000","岩手県","0.58",""
"1971年8月","03000","岩手県","0.62",""
"1971年9月","03000","岩手県","0.63",""
"1971年10月","03000","岩手県","0.66",""
"1971年11月","03000","岩手県","0.63",""
"1971年12月","03000","岩手県","0.60",""
"1972年1月","03000","岩手県","0.61",""
"1972年2月","03000","岩手県","0.61",""
"1972年3月","03000","岩手県","0.63",""
"1972年4月","03000","岩手県","0.64",""
"1972年5月","03000","岩手県","0.66",""
"1972年6月","03000","岩手県","0.62",""
"1972年7月","03000","岩手県","0.61",""
"1972年8月","03000","岩手県","0.64",""
"1972年9月","03000","岩手県","0.66",""
"1972年10月","03000","岩手県","0.70",""
"1972年11月","03000","岩手県","0.72",""
"1972年12月","03000","岩手県","0.80",""
"1973年1月","03000","岩手県","0.88",""
"1973年2月","03000","岩手県","0.94",""
"1973年3月","03000","岩手県","0.96",""
"1973年4月","03000","岩手県","1.00",""
"1973年5月","03000","岩手県","1.04",""
"1973年6月","03000","岩手県","1.16",""
"1973年7月","03000","岩手県","1.26",""
"1973年8月","03000","岩手県","1.17",""
"1973年9月","03000","岩手県","1.15",""
"1973年10月","03000","岩手県","1.20",""
"1973年11月","03000","岩手県","1.21",""
"1973年12月","03000","岩手県","1.24",""
"1974年1月","03000","岩手県","1.14",""
"1974年2月","03000","岩手県","1.07",""
"1974年3月","03000","岩手県","0.98",""
"1974年4月","03000","岩手県","0.97",""
"1974年5月","03000","岩手県","1.03",""
"1974年6月","03000","岩手県","0.95",""
"1974年7月","03000","岩手県","0.93",""
"1974年8月","03000","岩手県","0.84",""
"1974年9月","03000","岩手県","0.77",""
"1974年10月","03000","岩手県","0.69",""
"1974年11月","03000","岩手県","0.68",""
"1974年12月","03000","岩手県","0.61",""
"1975年1月","03000","岩手県","0.68",""
"1975年2月","03000","岩手県","0.65",""
"1975年3月","03000","岩手県","0.61",""
"1975年4月","03000","岩手県","0.56",""
"1975年5月","03000","岩手県","0.54",""
"1975年6月","03000","岩手県","0.53",""
"1975年7月","03000","岩手県","0.50",""
"1975年8月","03000","岩手県","0.52",""
"1975年9月","03000","岩手県","0.54",""
"1975年10月","03000","岩手県","0.55",""
"1975年11月","03000","岩手県","0.55",""
"1975年12月","03000","岩手県","0.47",""
"1976年1月","03000","岩手県","0.49",""
"1976年2月","03000","岩手県","0.49",""
"1976年3月","03000","岩手県","0.57",""
"1976年4月","03000","岩手県","0.65",""
"1976年5月","03000","岩手県","0.70",""
"1976年6月","03000","岩手県","0.61",""
"1976年7月","03000","岩手県","0.63",""
"1976年8月","03000","岩手県","0.68",""
"1976年9月","03000","岩手県","0.61",""
"1976年10月","03000","岩手県","0.60",""
"1976年11月","03000","岩手県","0.58",""
"1976年12月","03000","岩手県","0.64",""
"1977年1月","03000","岩手県","0.72",""
"1977年2月","03000","岩手県","0.68",""
"1977年3月","03000","岩手県","0.70",""
"1977年4月","03000","岩手県","0.62",""
"1977年5月","03000","岩手県","0.58",""
"1977年6月","03000","岩手県","0.56",""
"1977年7月","03000","岩手県","0.46",""
"1977年8月","03000","岩手県","0.53",""
"1977年9月","03000","岩手県","0.56",""
"1977年10月","03000","岩手県","0.56",""
"1977年11月","03000","岩手県","0.58",""
"1977年12月","03000","岩手県","0.56",""
"1978年1月","03000","岩手県","0.54",""
"1978年2月","03000","岩手県","0.52",""
"1978年3月","03000","岩手県","0.55",""
"1978年4月","03000","岩手県","0.57",""
"1978年5月","03000","岩手県","0.57",""
"1978年6月","03000","岩手県","0.57",""
"1978年7月","03000","岩手県","0.58",""
"1978年8月","03000","岩手県","0.58",""
"1978年9月","03000","岩手県","0.60",""
"1978年10月","03000","岩手県","0.62",""
"1978年11月","03000","岩手県","0.61",""
"1978年12月","03000","岩手県","0.59",""
"1979年1月","03000","岩手県","0.58",""
"1979年2月","03000","岩手県","0.61",""
"1979年3月","03000","岩手県","0.62",""
"1979年4月","03000","岩手県","0.68",""
"1979年5月","03000","岩手県","0.68",""
"1979年6月","03000","岩手県","0.73",""
"1979年7月","03000","岩手県","0.75",""
"1979年8月","03000","岩手県","0.78",""
"1979年9月","03000","岩手県","0.78",""
"1979年10月","03000","岩手県","0.77",""
"1979年11月","03000","岩手県","0.79",""
"1979年12月","03000","岩手県","0.77",""
"1980年1月","03000","岩手県","0.77",""
"1980年2月","03000","岩手県","0.74",""
"1980年3月","03000","岩手県","0.71",""
"1980年4月","03000","岩手県","0.73",""
"1980年5月","03000","岩手県","0.70",""
"1980年6月","03000","岩手県","0.70",""
"1980年7月","03000","岩手県","0.69",""
"1980年8月","03000","岩手県","0.68",""
"1980年9月","03000","岩手県","0.65",""
"1980年10月","03000","岩手県","0.62",""
"1980年11月","03000","岩手県","0.64",""
"1980年12月","03000","岩手県","0.82",""
"1981年1月","03000","岩手県","0.81",""
"1981年2月","03000","岩手県","0.68",""
"1981年3月","03000","岩手県","0.59",""
"1981年4月","03000","岩手県","0.58",""
"1981年5月","03000","岩手県","0.59",""
"1981年6月","03000","岩手県","0.56",""
"1981年7月","03000","岩手県","0.55",""
"1981年8月","03000","岩手県","0.59",""
"1981年9月","03000","岩手県","0.56",""
"1981年10月","03000","岩手県","0.55",""
"1981年11月","03000","岩手県","0.53",""
"1981年12月","03000","岩手県","0.53",""
"1982年1月","03000","岩手県","0.56",""
"1982年2月","03000","岩手県","0.57",""
"1982年3月","03000","岩手県","0.56",""
"1982年4月","03000","岩手県","0.50",""
"1982年5月","03000","岩手県","0.49",""
"1982年6月","03000","岩手県","0.48",""
"1982年7月","03000","岩手県","0.49",""
"1982年8月","03000","岩手県","0.48",""
"1982年9月","03000","岩手県","0.47",""
"1982年10月","03000","岩手県","0.49",""
"1982年11月","03000","岩手県","0.49",""
"1982年12月","03000","岩手県","0.50",""
"1983年1月","03000","岩手県","0.50",""
"1983年2月","03000","岩手県","0.50",""
"1983年3月","03000","岩手県","0.50",""
"1983年4月","03000","岩手県","0.48",""
"1983年5月","03000","岩手県","0.50",""
"1983年6月","03000","岩手県","0.49",""
"1983年7月","03000","岩手県","0.50",""
"1983年8月","03000","岩手県","0.52",""
"1983年9月","03000","岩手県","0.52",""
"1983年10月","03000","岩手県","0.52",""
"1983年11月","03000","岩手県","0.52",""
"1983年12月","03000","岩手県","0.53",""
"1984年1月","03000","岩手県","0.55",""
"1984年2月","03000","岩手県","0.53",""
"1984年3月","03000","岩手県","0.52",""
"1984年4月","03000","岩手県","0.56",""
"1984年5月","03000","岩手県","0.57",""
"1984年6月","03000","岩手県","0.55",""
"1984年7月","03000","岩手県","0.57",""
"1984年8月","03000","岩手県","0.59",""
"1984年9月","03000","岩手県","0.61",""
"1984年10月","03000","岩手県","0.62",""
"1984年11月","03000","岩手県","0.62",""
"1984年12月","03000","岩手県","0.60",""
"1985年1月","03000","岩手県","0.58",""
"1985年2月","03000","岩手県","0.54",""
"1985年3月","03000","岩手県","0.60",""
"1985年4月","03000","岩手県","0.60",""
"1985年5月","03000","岩手県","0.63",""
"1985年6月","03000","岩手県","0.60",""
"1985年7月","03000","岩手県","0.59",""
"1985年8月","03000","岩手県","0.59",""
"1985年9月","03000","岩手県","0.58",""
"1985年10月","03000","岩手県","0.56",""
"1985年11月","03000","岩手県","0.59",""
"1985年12月","03000","岩手県","0.57",""
"1986年1月","03000","岩手県","0.58",""
"1986年2月","03000","岩手県","0.57",""
"1986年3月","03000","岩手県","0.60",""
"1986年4月","03000","岩手県","0.58",""
"1986年5月","03000","岩手県","0.59",""
"1986年6月","03000","岩手県","0.54",""
"1986年7月","03000","岩手県","0.51",""
"1986年8月","03000","岩手県","0.51",""
"1986年9月","03000","岩手県","0.54",""
"1986年10月","03000","岩手県","0.54",""
"1986年11月","03000","岩手県","0.53",""
"1986年12月","03000","岩手県","0.55",""
"1987年1月","03000","岩手県","0.55",""
"1987年2月","03000","岩手県","0.58",""
"1987年3月","03000","岩手県","0.58",""
"1987年4月","03000","岩手県","0.58",""
"1987年5月","03000","岩手県","0.60",""
"1987年6月","03000","岩手県","0.62",""
"1987年7月","03000","岩手県","0.63",""
"1987年8月","03000","岩手県","0.64",""
"1987年9月","03000","岩手県","0.71",""
"1987年10月","03000","岩手県","0.74",""
"1987年11月","03000","岩手県","0.76",""
"1987年12月","03000","岩手県","0.77",""
"1988年1月","03000","岩手県","0.79",""
"1988年2月","03000","岩手県","0.85",""
"1988年3月","03000","岩手県","0.85",""
"1988年4月","03000","岩手県","0.87",""
"1988年5月","03000","岩手県","0.89",""
"1988年6月","03000","岩手県","0.89",""
"1988年7月","03000","岩手県","0.93",""
"1988年8月","03000","岩手県","0.96",""
"1988年9月","03000","岩手県","0.96",""
"1988年10月","03000","岩手県","1.00",""
"1988年11月","03000","岩手県","1.02",""
"1988年12月","03000","岩手県","1.05",""
"1989年1月","03000","岩手県","1.06",""
"1989年2月","03000","岩手県","1.05",""
"1989年3月","03000","岩手県","1.02",""
"1989年4月","03000","岩手県","1.03",""
"1989年5月","03000","岩手県","1.09",""
"1989年6月","03000","岩手県","1.09",""
"1989年7月","03000","岩手県","1.15",""
"1989年8月","03000","岩手県","1.23",""
"1989年9月","03000","岩手県","1.17",""
"1989年10月","03000","岩手県","1.20",""
"1989年11月","03000","岩手県","1.22",""
"1989年12月","03000","岩手県","1.20",""
"1990年1月","03000","岩手県","1.21",""
"1990年2月","03000","岩手県","1.25",""
"1990年3月","03000","岩手県","1.24",""
"1990年4月","03000","岩手県","1.27",""
"1990年5月","03000","岩手県","1.27",""
"1990年6月","03000","岩手県","1.34",""
"1990年7月","03000","岩手県","1.35",""
